コード,PER,PBR,EPS成長率,自社株買い,業種平均PER
2726,14.900922,3.222549,3.4000000000000004,,16.157451000000002
2730,17.174763,1.1052364,136.5,,16.157451000000002
2733,8.681863,0.7117133,-27.0,,16.157451000000002
2749,12.8768215,2.3993573,21.4,,16.103048
2752,,6.804195,,,16.157451000000002
2760,14.768964,2.1659987,117.8,,21.674925
2767,11.476506,2.4386404,-15.0,,16.157451000000002
2768,10.967846,0.9864202,43.4,,16.103048
2784,10.065769,0.83474505,-50.5,,18.2721025
2791,17.45523,1.0164547,-54.6,,19.03057
2801,27.173586,2.8946784,24.4,,19.03057
2802,38.1558,6.507095,13.100000000000001,,19.03057
2809,26.149853,1.9850135,29.799999999999997,,19.03057
2810,47.198196,1.1722606,185.20000000000002,,19.03057
2811,18.192696,1.2470365,-22.0,,19.03057
2815,17.916077,1.2854019,-11.3,,19.03057
2871,19.74312,1.8724474,22.5,,19.03057
2874,40.563747,1.4977179,,,19.03057
2875,14.717632,1.8995037,19.5,,19.03057
2897,18.85162,1.6073064,18.3,,19.03057
2914,20.607433,2.7936978,44.6,,19.03057
2918,9.110424,0.81482166,-36.6,,19.03057
2931,,1.4756455,,,19.03057
3002,266.09305,1.2125856,,,16.157451000000002
3003,10.972973,1.3830322,14.899999999999999,,9.660392
3028,14.264929,0.71802974,147.3,,16.157451000000002
3034,12.93086,1.6127248,61.7,,18.2721025
3036,17.852356,0.8862794,349.2,,15.285404499999999
3038,18.207054,3.5878763,187.9,,19.03057
3046,18.739702,4.1665144,13.900000000000002,,18.2721025
3048,15.296023,1.6409878,42.6,,16.157451000000002
3050,12.430135,0.7550667,11.5,,16.157451000000002
3064,25.28504,7.4035926,,,16.157451000000002
3076,11.654059,1.345242,29.299999999999997,,16.103048
3086,25.57624,1.7203658,-7.5,,16.157451000000002
3087,18.919868,1.2718418,31.3,,16.157451000000002
3088,18.032904,1.8467402,14.899999999999999,,18.2721025
3091,33.82625,3.578375,27.400000000000002,,16.157451000000002
3092,20.554016,9.953052,4.6,,16.157451000000002
3097,25.32705,4.6828146,75.5,,16.157451000000002
3099,16.101576,2.0084293,18.5,,16.157451000000002
3101,12.432901,0.6522717,95.3,,15.285404499999999
3105,13.918532,1.4671365,,,16.103048
3106,12.975214,1.1901094,-26.700000000000003,,16.103048
3107,9.680716,1.7823535,-19.5,,21.674925
3110,13.0533285,3.0768757,84.2,,16.157451000000002
3116,16.862474,0.79737896,-18.9,,16.157451000000002
3132,21.09691,2.0455909,114.7,,21.674925
